"ID","CPs","log_Population","log_Weekend","log_Workday","log_Eatinganddrinking","log_Attraction","log_Public","log_Manufacturing","log_Retail","log_Transport","log_Commercial","log_Education","log_Sports","log_Medical","log_Accomodation","lambda"
1,0,6.51025834052315,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0.220308454754096
2,1,6.3919171133926,2.484906649788,1.94591014905531,0,0,0,1.09861228866811,0.693147180559945,1.6094379124341,0,1.09861228866811,0,0,0,1.07759528719562
3,0,5.83188247728352,3.98898404656427,6.23244801655052,2.484906649788,0,0,1.38629436111989,3.09104245335832,2.07944154167984,1.09861228866811,0.693147180559945,0,0,1.6094379124341,0.352538631477716
4,0,7.71289096149013,1.94591014905531,2.19722457733622,0,0,0.693147180559945,2.30258509299405,0.693147180559945,0,0,0.693147180559945,0,0,0,0.234933211982056
5,0,7.04141166379481,1.94591014905531,1.6094379124341,0.693147180559945,0.693147180559945,0,0.693147180559945,1.38629436111989,1.94591014905531,0,1.6094379124341,0,0,0,0.423453945613401
6,0,7.41938058291869,1.6094379124341,1.6094379124341,2.19722457733622,0,0,2.07944154167984,2.39789527279837,0.693147180559945,0,1.79175946922805,0,0,2.56494935746154,0.16692218823654
7,0,6.82762923450285,2.484906649788,2.07944154167984,2.56494935746154,0,0,1.09861228866811,1.38629436111989,2.30258509299405,0.693147180559945,2.19722457733622,0,0.693147180559945,1.09861228866811,0.406541363528266
8,0,7.34407285057307,0,2.30258509299405,0,0,0,0.693147180559945,0,0,0,2.07944154167984,0,0,0,0.222582777339509
9,0,5.37527840768417,2.89037175789616,5.82304589548302,1.38629436111989,0,0.693147180559945,1.6094379124341,2.30258509299405,0,0,1.09861228866811,0,0.693147180559945,0.693147180559945,0.140474385592401
10,0,7.39633529380081,4.94875989037817,7.24136628332232,2.07944154167984,0,0,2.30258509299405,2.70805020110221,1.09861228866811,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0.282455688775141
11,0,7.36137542897735,1.94591014905531,0.693147180559945,0,0,0,1.38629436111989,0,0,0,0,0.693147180559945,0,0,0.241779822987434
12,0,7.58120982619635,3.40119738166216,4.36944785246702,2.99573227355399,0.693147180559945,1.38629436111989,2.484906649788,3.49650756146648,1.38629436111989,1.38629436111989,2.07944154167984,0,1.94591014905531,0,0.408873739558309
13,0,6.44094654063292,3.09104245335832,6.12249280951439,1.79175946922805,0,0,1.6094379124341,2.39789527279837,1.38629436111989,0,1.09861228866811,0,1.09861228866811,0.693147180559945,0.299003583807191
14,0,5.80513496891649,0,2.70805020110221,0,0,0,1.6094379124341,0.693147180559945,0,0,0,0,0,0,0.225525622672718
15,0,5.34233425196481,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0.213891364417752
16,0,7.30653139893951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268535877522755
17,0,5.84932477994686,0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0,0,0,0,0.226675082836828
18,0,5.69035945432406,0.693147180559945,2.63905732961526,0,0,0,1.6094379124341,0.693147180559945,0,0,0,0,0,0,0.21344606751317
19,0,6.45204895443723,2.63905732961526,2.63905732961526,0.693147180559945,0,0,2.07944154167984,1.09861228866811,1.09861228866811,0,1.09861228866811,0,0,0,0.304361868999897
20,0,8.21419441485256,4.99721227376411,0,1.94591014905531,0,0.693147180559945,1.79175946922805,2.39789527279837,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,0.250481948797031
21,0,6.70808408385307,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.250396277421268
22,0,6.54391184556479,0,1.09861228866811,0,0,0,1.38629436111989,0.693147180559945,1.79175946922805,0,1.09861228866811,0,0,0,0.430646908836801
23,2,6.99484998583307,4.84418708645859,6.70073110954781,3.49650756146648,0.693147180559945,0.693147180559945,2.19722457733622,2.89037175789616,1.38629436111989,0,1.94591014905531,0,1.38629436111989,1.09861228866811,1.80026349424665
24,0,8.1786387885907,3.09104245335832,6.22851100359118,2.89037175789616,1.09861228866811,0,2.30258509299405,2.94443897916644,1.6094379124341,0,2.30258509299405,1.38629436111989,2.07944154167984,0,0.404608200630604
25,0,7.63288550539513,5.79301360838414,5.70044357339069,4.31748811353631,0.693147180559945,0,2.30258509299405,3.61091791264422,2.07944154167984,0,3.43398720448515,1.38629436111989,2.30258509299405,0.693147180559945,0.347917415109248
26,0,7.91571319938212,1.94591014905531,0,1.94591014905531,0,0,1.38629436111989,1.79175946922805,1.94591014905531,0.693147180559945,1.79175946922805,1.6094379124341,1.38629436111989,1.09861228866811,0.411296498449949
27,0,6.21460809842219,2.07944154167984,2.77258872223978,0,0,0,1.09861228866811,0,2.484906649788,0,0,0,0,0,0.502803594586919
28,0,6.88243747099785,0,0,0.693147180559945,0,0,1.09861228866811,0.693147180559945,0,0,1.79175946922805,1.38629436111989,0,0,0.219986324358143
29,0,6.21460809842219,0,0.693147180559945,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0.236440390796822
